Time,Height(m),Leak Rate (L/hr),Daily Leak Volume (L)
2022-02-26 10:30:42+00:00,3.62,0.0,1.7550044166666672
2022-02-26 10:49:00+00:00,3.83,0.0,2.2319847083333335
2022-02-26 11:07:18+00:00,4.04,0.0,2.4637536875
2022-02-26 11:25:36+00:00,4.25,0.0,2.4914631875000013
2022-02-26 11:43:54+00:00,4.45,0.0,2.358182166666667
2022-02-26 12:02:12+00:00,4.64,0.0,2.0721834583333343
2022-02-26 12:20:30+00:00,4.8,0.0,1.663563270833334
2022-02-26 12:38:48+00:00,4.94,0.0,1.1585702916666674
2022-02-26 12:57:06+00:00,5.05,0.0,0.5976652500000004
2022-02-26 13:15:24+00:00,5.13,0.0073500000000000605,0.12548593750000028
2022-02-26 13:33:42+00:00,5.18,0.019600000000000017,0.0
2022-02-26 13:52:00+00:00,5.2,0.02450000000000013,0.0
2022-02-26 14:11:45+00:00,5.18,0.019600000000000017,0.0
2022-02-26 14:31:30+00:00,5.13,0.0073500000000000605,0.04969825000000017
2022-02-26 14:51:15+00:00,5.05,0.0,0.4934994166666672
2022-02-26 15:11:00+00:00,4.93,0.0,1.1179431666666673
2022-02-26 15:30:45+00:00,4.78,0.0,1.7003387916666675
2022-02-26 15:50:30+00:00,4.61,0.0,2.185169291666668
2022-02-26 16:10:15+00:00,4.42,0.0,2.552875500000001
2022-02-26 16:30:00+00:00,4.22,0.0,2.7542369166666667
2022-02-26 16:49:45+00:00,4.0,0.0,2.7229330625000014
2022-02-26 17:09:30+00:00,3.78,0.0,2.375030000000001
2022-02-26 17:29:15+00:00,3.56,0.0,1.7043088125000003
2022-02-26 17:49:00+00:00,3.34,0.0,0.8607830000000003
2022-02-26 18:08:45+00:00,3.14,0.0,0.2904658750000003
2022-02-26 18:28:30+00:00,2.95,0.0,0.08755891666666682
2022-02-26 18:48:15+00:00,2.78,0.0,0.11171489583333373
2022-02-26 19:08:00+00:00,2.63,0.0,0.4932391041666671
2022-02-26 19:27:45+00:00,2.51,0.0,1.0959309375000006
2022-02-26 19:47:30+00:00,2.43,0.0,1.6145500000000006
2022-02-26 20:07:15+00:00,2.38,0.0,1.9363881250000003
2022-02-26 20:27:00+00:00,2.36,0.0,2.0718986458333344
2022-02-26 20:46:03+00:00,2.38,0.0,2.068767750000001
2022-02-26 21:05:06+00:00,2.44,0.0,1.970088895833334
2022-02-26 21:24:09+00:00,2.53,0.0,1.768393666666667
2022-02-26 21:43:12+00:00,2.65,0.0,1.4899021666666674
2022-02-26 22:02:15+00:00,2.81,0.0,1.120490145833334
2022-02-26 22:21:18+00:00,2.99,0.0,0.6635273750000007
2022-02-26 22:40:21+00:00,3.2,0.0,0.23691091666666697
2022-02-26 22:59:24+00:00,3.42,0.0,0.024990000000000092
2022-02-26 23:18:27+00:00,3.65,0.0,0.0
2022-02-26 23:37:30+00:00,3.9,0.0,0.0
2022-02-26 23:56:33+00:00,4.14,0.0,0.054680937500000144
2022-02-27 00:15:36+00:00,4.37,0.0,0.4684246875000005
2022-02-27 00:34:39+00:00,4.59,0.0,1.0691585625000004
2022-02-27 00:53:42+00:00,4.8,0.0,1.6705774166666674
2022-02-27 01:12:45+00:00,4.98,0.0,2.1672107916666676
2022-02-27 01:31:48+00:00,5.14,0.009800000000000008,2.5275751666666677
2022-02-27 01:50:51+00:00,5.26,0.03920000000000003,2.6994783958333346
2022-02-27 02:09:54+00:00,5.35,0.06125,2.654199333333334
2022-02-27 02:28:57+00:00,5.41,0.07595000000000011,2.332485750000001
2022-02-27 02:48:00+00:00,5.43,0.08085000000000002,1.7302318541666672
2022-02-27 03:07:18+00:00,5.41,0.07595000000000011,1.0176810000000005
2022-02-27 03:26:36+00:00,5.35,0.06125,0.49286854166666716
2022-02-27 03:45:54+00:00,5.26,0.03920000000000003,0.39474502083333374
2022-02-27 04:05:12+00:00,5.13,0.0073500000000000605,0.39059125000000045
2022-02-27 04:24:30+00:00,4.97,0.0,0.5929581875000005
2022-02-27 04:43:48+00:00,4.78,0.0,0.9082936041666673
2022-02-27 05:03:06+00:00,4.57,0.0,1.204295458333334
2022-02-27 05:22:24+00:00,4.35,0.0,1.4121228333333342
2022-02-27 05:41:42+00:00,4.11,0.0,1.5402251666666673
2022-02-27 06:01:00+00:00,3.86,0.0,1.588562645833334
2022-02-27 06:20:18+00:00,3.61,0.0,1.5729326666666674
2022-02-27 06:39:36+00:00,3.37,0.0,1.4891763541666678
2022-02-27 06:58:54+00:00,3.15,0.0,1.3377132708333341
2022-02-27 07:18:12+00:00,2.94,0.0,1.099392583333334
2022-02-27 07:37:30+00:00,2.75,0.0,0.7902577083333339
2022-02-27 07:56:48+00:00,2.59,0.0,0.47896377083333386
2022-02-27 08:16:06+00:00,2.46,0.0,0.21407487500000033
2022-02-27 08:35:24+00:00,2.37,0.0,0.09152689583333357
2022-02-27 08:54:42+00:00,2.31,0.0,0.0707376250000003
2022-02-27 09:14:00+00:00,2.29,0.0,0.1827291666666671
2022-02-27 09:32:00+00:00,2.31,0.0,0.489379333333334
2022-02-27 09:50:00+00:00,2.37,0.0,0.9492667916666672
2022-02-27 10:08:00+00:00,2.47,0.0,1.4555072291666673
2022-02-27 10:26:00+00:00,2.6,0.0,1.911196000000001
2022-02-27 10:44:00+00:00,2.77,0.0,2.2579996250000005
2022-02-27 11:02:00+00:00,2.96,0.0,2.497202312500001
2022-02-27 11:20:00+00:00,3.18,0.0,2.539312708333334
2022-02-27 11:38:00+00:00,3.42,0.0,2.3789857291666663
2022-02-27 11:56:00+00:00,3.67,0.0,1.9824807916666674
2022-02-27 12:14:00+00:00,3.92,0.0,1.4163388750000008
2022-02-27 12:32:00+00:00,4.17,0.0,0.9332825833333339
2022-02-27 12:50:00+00:00,4.42,0.0,0.7720501250000006
2022-02-27 13:08:00+00:00,4.66,0.0,0.6221315625000006
2022-02-27 13:26:00+00:00,4.88,0.0,0.5056452916666673
2022-02-27 13:44:00+00:00,5.07,0.0,0.5161261875000007
2022-02-27 14:02:00+00:00,5.24,0.034300000000000136,0.6261863125000006
2022-02-27 14:20:00+00:00,5.37,0.06615000000000011,0.7988092291666671
2022-02-27 14:38:00+00:00,5.47,0.09065000000000002,0.986956979166667
2022-02-27 14:56:00+00:00,5.53,0.10535000000000015,1.162277958333334
2022-02-27 15:14:00+00:00,5.55,0.11025000000000004,1.2885928125000008
2022-02-27 15:34:06+00:00,5.53,0.10535000000000015,1.3657545416666677
2022-02-27 15:54:12+00:00,5.46,0.08820000000000007,1.3510770000000007
2022-02-27 16:14:18+00:00,5.35,0.06125,1.2646307916666675
2022-02-27 16:34:24+00:00,5.21,0.026950000000000078,1.1155237916666674
2022-02-27 16:54:30+00:00,5.02,0.0,0.9171615833333342
2022-02-27 17:14:36+00:00,4.81,0.0,0.6799240000000004
2022-02-27 17:34:42+00:00,4.56,0.0,0.48255812500000056
2022-02-27 17:54:48+00:00,4.3,0.0,0.42658379166666704
2022-02-27 18:14:54+00:00,4.03,0.0,0.4256262500000005
2022-02-27 18:35:00+00:00,3.75,0.0,0.4740811250000005
2022-02-27 18:55:06+00:00,3.46,0.0,0.6894820625000003
2022-02-27 19:15:12+00:00,3.19,0.0,1.0600210833333341
2022-02-27 19:35:18+00:00,2.93,0.0,1.5271625833333342
2022-02-27 19:55:24+00:00,2.68,0.0,1.9809628125000005
2022-02-27 20:15:30+00:00,2.47,0.0,2.367594250000001
2022-02-27 20:35:36+00:00,2.28,0.0,2.6065723541666674
2022-02-27 20:55:42+00:00,2.14,0.0,2.635469083333334
2022-02-27 21:15:48+00:00,2.03,0.0,2.3903047291666675
2022-02-27 21:35:54+00:00,1.96,0.0,1.946152395833334
2022-02-27 21:56:00+00:00,1.94,0.0,1.401757291666667
2022-02-27 22:14:36+00:00,1.96,0.0,1.0171501666666674
2022-02-27 22:33:12+00:00,2.04,0.0,0.6307086041666672
2022-02-27 22:51:48+00:00,2.15,0.0,0.31260979166666725
2022-02-27 23:10:24+00:00,2.31,0.0,0.13875881250000033
2022-02-27 23:29:00+00:00,2.51,0.0,0.14016858333333373
2022-02-27 23:47:36+00:00,2.75,0.0,0.3266819791666672
2022-02-28 00:06:12+00:00,3.01,0.0,0.636498770833334
2022-02-28 00:24:48+00:00,3.29,0.0,0.975124500000001
2022-02-28 00:43:24+00:00,3.59,0.0,1.2706292083333341
2022-02-28 01:02:00+00:00,3.9,0.0,1.464472187500001
2022-02-28 01:20:36+00:00,4.2,0.0,1.5890005833333338
2022-02-28 01:39:12+00:00,4.5,0.0,1.6283138958333336
2022-02-28 01:57:48+00:00,4.78,0.0,1.5945773958333342
2022-02-28 02:16:24+00:00,5.04,0.0,1.4958536250000007
2022-02-28 02:35:00+00:00,5.28,0.044100000000000146,1.2975414375000007
2022-02-28 02:53:36+00:00,5.48,0.0931000000000002,1.0154698750000004
2022-02-28 03:12:12+00:00,5.64,0.1323,0.707696791666667
2022-02-28 03:30:48+00:00,5.75,0.15925000000000009,0.5012005833333338
2022-02-28 03:49:24+00:00,5.83,0.1788500000000001,0.3373690833333338
2022-02-28 04:08:00+00:00,5.85,0.18375,0.3412594791666671
2022-02-28 04:26:48+00:00,5.83,0.1788500000000001,0.6948322500000006
2022-02-28 04:45:36+00:00,5.75,0.15925000000000009,1.3024189791666676
2022-02-28 05:04:24+00:00,5.64,0.1323,1.962766458333334
2022-02-28 05:23:12+00:00,5.48,0.0931000000000002,2.5074371875000008
2022-02-28 05:42:00+00:00,5.28,0.044100000000000146,2.846162958333333
2022-02-28 06:00:48+00:00,5.04,0.0,2.9220578333333345
2022-02-28 06:19:36+00:00,4.78,0.0,2.7687062083333336
2022-02-28 06:38:24+00:00,4.5,0.0,2.352749291666668
2022-02-28 06:57:12+00:00,4.2,0.0,1.734735770833334
2022-02-28 07:16:00+00:00,3.9,0.0,1.0826948125000007
2022-02-28 07:34:48+00:00,3.59,0.0,0.5101328750000005
2022-02-28 07:53:36+00:00,3.29,0.0,0.13969900000000038
2022-02-28 08:12:24+00:00,3.01,0.0,0.0
2022-02-28 08:31:12+00:00,2.75,0.0,0.0
2022-02-28 08:50:00+00:00,2.51,0.0,0.07382258333333361
2022-02-28 09:08:48+00:00,2.31,0.0,0.47859627083333384
2022-02-28 09:27:36+00:00,2.15,0.0,0.9777745833333341
2022-02-28 09:46:24+00:00,2.04,0.0,1.4134233750000007
2022-02-28 10:05:12+00:00,1.96,0.0,1.7289946041666675
2022-02-28 10:24:00+00:00,1.94,0.0,1.9459972291666674
2022-02-28 10:41:39+00:00,1.97,0.0,2.077312125000001
2022-02-28 10:59:18+00:00,2.04,0.0,2.109113125000001
2022-02-28 11:16:57+00:00,2.16,0.0,2.0494556250000007
2022-02-28 11:34:36+00:00,2.33,0.0,1.847031520833334
2022-02-28 11:52:15+00:00,2.54,0.0,1.4261174375000008
2022-02-28 12:09:54+00:00,2.78,0.0,0.8378887708333336
2022-02-28 12:27:33+00:00,3.06,0.0,0.3713740625000005
2022-02-28 12:45:12+00:00,3.35,0.0,0.11813593750000057
2022-02-28 13:02:51+00:00,3.67,0.0,0.12594735416666705
2022-02-28 13:20:30+00:00,3.99,0.0,0.5951478750000007
2022-02-28 13:38:09+00:00,4.3,0.0,1.3882557500000006
2022-02-28 13:55:48+00:00,4.62,0.0,2.1494411458333342
2022-02-28 14:13:27+00:00,4.91,0.0,2.698593333333333
2022-02-28 14:31:06+00:00,5.19,0.022050000000000184,2.9965756041666682
2022-02-28 14:48:45+00:00,5.43,0.08085000000000002,3.0434931041666675
2022-02-28 15:06:24+00:00,5.64,0.1323,2.8560456458333343
2022-02-28 15:24:03+00:00,5.81,0.17395,2.460869833333334
2022-02-28 15:41:42+00:00,5.93,0.20335,1.8587802916666674
2022-02-28 15:59:21+00:00,6.0,0.22050000000000008,1.1730671458333342
2022-02-28 16:17:00+00:00,6.03,0.22785000000000014,0.4630745000000005
2022-02-28 16:37:18+00:00,6.0,0.22050000000000008,0.026843833333333476
2022-02-28 16:57:36+00:00,5.92,0.20090000000000008,0.0
2022-02-28 17:17:54+00:00,5.78,0.16660000000000014,0.0
2022-02-28 17:38:12+00:00,5.59,0.12005000000000005,0.006788541666666721
2022-02-28 17:58:30+00:00,5.35,0.06125,0.4122227083333338
2022-02-28 18:18:48+00:00,5.08,0.0,1.0110537500000005
2022-02-28 18:39:06+00:00,4.77,0.0,1.540191479166667
2022-02-28 18:59:24+00:00,4.43,0.0,1.945389833333334
2022-02-28 19:19:42+00:00,4.08,0.0,2.2440336041666678
2022-02-28 19:40:00+00:00,3.72,0.0,2.435212208333335
2022-02-28 20:00:18+00:00,3.36,0.0,2.5326691250000013
2022-02-28 20:20:36+00:00,3.01,0.0,2.4631952916666675
2022-02-28 20:40:54+00:00,2.67,0.0,2.169718979166668
2022-02-28 21:01:12+00:00,2.36,0.0,1.5910024375000011
2022-02-28 21:21:30+00:00,2.09,0.0,0.8070912500000004
2022-02-28 21:41:48+00:00,1.85,0.0,0.21301116666666714
2022-02-28 22:02:06+00:00,1.66,0.0,0.031049666666666805
2022-02-28 22:22:24+00:00,1.52,0.0,0.1557240416666671
2022-02-28 22:42:42+00:00,1.44,0.0,0.7433238750000005
2022-02-28 23:03:00+00:00,1.41,0.0,1.5553610625000005
2022-02-28 23:21:21+00:00,1.44,0.0,2.2587019583333348
2022-02-28 23:39:42+00:00,1.53,0.0,2.707794104166667
2022-02-28 23:58:03+00:00,1.68,0.0,2.8912419375000002
2022-03-01 00:16:24+00:00,1.88,0.0,2.892971229166667
2022-03-01 00:34:45+00:00,2.12,0.0,2.696877312500001
2022-03-01 00:53:06+00:00,2.41,0.0,2.3378961666666678
2022-03-01 01:11:27+00:00,2.74,0.0,1.8361422916666672
2022-03-01 01:29:48+00:00,3.09,0.0,1.2164862500000007
2022-03-01 01:48:09+00:00,3.46,0.0,0.5343153958333339
2022-03-01 02:06:30+00:00,3.85,0.0,0.017205125000000144
2022-03-01 02:24:51+00:00,4.23,0.0,0.0
2022-03-01 02:43:12+00:00,4.6,0.0,0.0
2022-03-01 03:01:33+00:00,4.95,0.0,0.0
2022-03-01 03:19:54+00:00,5.28,0.044100000000000146,0.33006400000000047
2022-03-01 03:38:15+00:00,5.57,0.11515000000000016,0.9249158333333342
2022-03-01 03:56:36+00:00,5.81,0.17395,1.512950541666667
2022-03-01 04:14:57+00:00,6.01,0.22295000000000004,2.001783729166667
2022-03-01 04:33:18+00:00,6.16,0.2597000000000001,2.3879802916666675
2022-03-01 04:51:39+00:00,6.25,0.28175000000000006,2.6542166875000004
2022-03-01 05:10:00+00:00,6.28,0.28910000000000013,2.768621479166667
2022-03-01 05:28:30+00:00,6.25,0.28175000000000006,2.665314166666668
2022-03-01 05:47:00+00:00,6.16,0.2597000000000001,2.2285148958333334
2022-03-01 06:05:30+00:00,6.02,0.2254,1.667204583333334
2022-03-01 06:24:00+00:00,5.83,0.1788500000000001,0.903741708333334
2022-03-01 06:42:30+00:00,5.59,0.12005000000000005,0.2657953958333338
2022-03-01 07:01:00+00:00,5.31,0.05144999999999999,0.08692191666666689
2022-03-01 07:19:30+00:00,4.99,0.0,0.332886604166667
2022-03-01 07:38:00+00:00,4.65,0.0,0.8827043750000008
2022-03-01 07:56:30+00:00,4.29,0.0,1.517595333333334
2022-03-01 08:15:00+00:00,3.93,0.0,2.035088416666667
2022-03-01 08:33:30+00:00,3.56,0.0,2.3601605416666676
2022-03-01 08:52:00+00:00,3.2,0.0,2.5034426666666674
2022-03-01 09:10:30+00:00,2.86,0.0,2.495662895833334
2022-03-01 09:29:00+00:00,2.54,0.0,2.3432473750000002
2022-03-01 09:47:30+00:00,2.26,0.0,2.0736524375000003
2022-03-01 10:06:00+00:00,2.02,0.0,1.6885400000000006
2022-03-01 10:24:30+00:00,1.83,0.0,1.210565416666667
2022-03-01 10:43:00+00:00,1.69,0.0,0.6691970833333339
2022-03-01 11:01:30+00:00,1.6,0.0,0.17859275000000052
2022-03-01 11:20:00+00:00,1.57,0.0,0.0
2022-03-01 11:37:27+00:00,1.6,0.0,0.0
2022-03-01 11:54:54+00:00,1.69,0.0,0.0
2022-03-01 12:12:21+00:00,1.84,0.0,0.20054270833333374
2022-03-01 12:29:48+00:00,2.04,0.0,0.6972169166666673
2022-03-01 12:47:15+00:00,2.29,0.0,1.2709395416666676
2022-03-01 13:04:42+00:00,2.58,0.0,1.8074487083333342
2022-03-01 13:22:09+00:00,2.91,0.0,2.2609702500000006
2022-03-01 13:39:36+00:00,3.27,0.0,2.599360166666667
2022-03-01 13:57:03+00:00,3.65,0.0,2.750088250000002
2022-03-01 14:14:30+00:00,4.03,0.0,2.686798625
2022-03-01 14:31:57+00:00,4.41,0.0,2.3853179583333337
2022-03-01 14:49:24+00:00,4.79,0.0,1.852895187500001
2022-03-01 15:06:51+00:00,5.15,0.012250000000000174,1.2251674166666675
2022-03-01 15:24:18+00:00,5.48,0.0931000000000002,0.6698943125000006
2022-03-01 15:41:45+00:00,5.77,0.16415,0.3627868125000004
2022-03-01 15:59:12+00:00,6.02,0.2254,0.4518208333333338
2022-03-01 16:16:39+00:00,6.22,0.27440000000000003,0.7860059375000007
2022-03-01 16:34:06+00:00,6.37,0.3111500000000001,1.131205833333334
2022-03-01 16:51:33+00:00,6.46,0.33320000000000005,1.4478397500000009
2022-03-01 17:09:00+00:00,6.49,0.34055000000000013,1.6879448541666673
2022-03-01 17:29:27+00:00,6.46,0.33320000000000005,1.8379430416666673
2022-03-01 17:49:54+00:00,6.35,0.30625,1.9066502291666676
2022-03-01 18:10:21+00:00,6.19,0.2670500000000002,1.8966991458333342
2022-03-01 18:30:48+00:00,5.96,0.21070000000000008,1.7727373125000003
2022-03-01 18:51:15+00:00,5.68,0.1421,1.5577477708333338
2022-03-01 19:11:42+00:00,5.35,0.06125,1.2616683333333343
2022-03-01 19:32:09+00:00,4.98,0.0,0.908595770833334
2022-03-01 19:52:36+00:00,4.58,0.0,0.5407793125000007
2022-03-01 20:13:03+00:00,4.16,0.0,0.25136591666666713
2022-03-01 20:33:30+00:00,3.73,0.0,0.09278047916666687
2022-03-01 20:53:57+00:00,3.29,0.0,0.029249937500000153
2022-03-01 21:14:24+00:00,2.87,0.0,0.144861354166667
2022-03-01 21:34:51+00:00,2.47,0.0,0.4341451041666672
2022-03-01 21:55:18+00:00,2.1,0.0,0.8794407708333338
2022-03-01 22:15:45+00:00,1.77,0.0,1.3916408333333343
2022-03-01 22:36:12+00:00,1.49,0.0,1.8823411250000008
2022-03-01 22:56:39+00:00,1.26,0.0,2.298722708333334
2022-03-01 23:17:06+00:00,1.1,0.0,2.587771666666668
2022-03-01 23:37:33+00:00,0.99,0.0,2.685016250000001
2022-03-01 23:58:00+00:00,0.96,0.0,2.603325083333335
2022-03-02 00:16:06+00:00,0.99,0.0,2.307768312500001
2022-03-02 00:34:12+00:00,1.1,0.0,1.8255797291666678
2022-03-02 00:52:18+00:00,1.27,0.0,1.244077333333334
2022-03-02 01:10:24+00:00,1.5,0.0,0.7161840000000005
2022-03-02 01:28:30+00:00,1.79,0.0,0.42129383333333364
2022-03-02 01:46:36+00:00,2.12,0.0,0.4775203125000005
2022-03-02 02:04:42+00:00,2.5,0.0,0.556175520833334
2022-03-02 02:22:48+00:00,2.91,0.0,0.6725985000000007
2022-03-02 02:40:54+00:00,3.34,0.0,0.9005638541666674
2022-03-02 02:59:00+00:00,3.78,0.0,1.1634437500000006
2022-03-02 03:17:06+00:00,4.22,0.0,1.3862089791666674
2022-03-02 03:35:12+00:00,4.65,0.0,1.5369605416666676
2022-03-02 03:53:18+00:00,5.06,0.0,1.583891312500001
2022-03-02 04:11:24+00:00,5.44,0.08330000000000018,1.5460592291666675
2022-03-02 04:29:30+00:00,5.77,0.16415,1.4241472291666675
2022-03-02 04:47:36+00:00,6.06,0.2352,1.2491508750000004
2022-03-02 05:05:42+00:00,6.29,0.2915500000000001,1.0463276250000006
2022-03-02 05:23:48+00:00,6.46,0.33320000000000005,0.8076966041666672
2022-03-02 05:41:54+00:00,6.57,0.36015000000000014,0.5520227708333338
2022-03-02 06:00:00+00:00,6.6,0.3675,0.312787416666667
2022-03-02 06:18:33+00:00,6.57,0.36015000000000014,0.12088095833333358
2022-03-02 06:37:06+00:00,6.47,0.33565,0.20999154166666706
2022-03-02 06:55:39+00:00,6.31,0.29645,0.44411252083333375
2022-03-02 07:14:12+00:00,6.09,0.24255000000000004,0.8525897916666674
2022-03-02 07:32:45+00:00,5.82,0.17640000000000014,1.4204293541666673
2022-03-02 07:51:18+00:00,5.5,0.09800000000000009,2.011300958333334
2022-03-02 08:09:51+00:00,5.15,0.012250000000000174,2.515099562500001
2022-03-02 08:28:24+00:00,4.76,0.0,2.8416692500000016
2022-03-02 08:46:57+00:00,4.36,0.0,2.9416843750000004
2022-03-02 09:05:30+00:00,3.94,0.0,2.7766727916666674
2022-03-02 09:24:03+00:00,3.52,0.0,2.357128666666668
2022-03-02 09:42:36+00:00,3.12,0.0,1.6828008750000005
2022-03-02 10:01:09+00:00,2.73,0.0,0.9517341458333338
2022-03-02 10:19:42+00:00,2.38,0.0,0.3528939166666671
2022-03-02 10:38:15+00:00,2.06,0.0,0.12969789583333355
2022-03-02 10:56:48+00:00,1.79,0.0,0.09141868750000018
2022-03-02 11:15:21+00:00,1.57,0.0,0.071535916666667
2022-03-02 11:33:54+00:00,1.41,0.0,0.29365189583333373
2022-03-02 11:52:27+00:00,1.31,0.0,0.6798341666666674
2022-03-02 12:11:00+00:00,1.28,0.0,1.0677365416666673
2022-03-02 12:28:12+00:00,1.31,0.0,1.3550388541666674
2022-03-02 12:45:24+00:00,1.42,0.0,1.550204833333334
2022-03-02 13:02:36+00:00,1.58,0.0,1.653598916666667
2022-03-02 13:19:48+00:00,1.81,0.0,1.6752793750000008
2022-03-02 13:37:00+00:00,2.09,0.0,1.6331455000000008
2022-03-02 13:54:12+00:00,2.43,0.0,1.5283630833333346
2022-03-02 14:11:24+00:00,2.8,0.0,1.3440587708333338
2022-03-02 14:28:36+00:00,3.2,0.0,1.0384345416666674
2022-03-02 14:45:48+00:00,3.63,0.0,0.6064587083333338
2022-03-02 15:03:00+00:00,4.06,0.0,0.142273541666667
2022-03-02 15:20:12+00:00,4.49,0.0,0.06754956250000016
2022-03-02 15:37:24+00:00,4.92,0.0,0.09905247916666708
2022-03-02 15:54:36+00:00,5.32,0.053900000000000156,0.45639825000000056
2022-03-02 16:11:48+00:00,5.69,0.14455000000000018,1.1797321666666671
2022-03-02 16:29:00+00:00,6.03,0.22785000000000014,1.9623826250000012
2022-03-02 16:46:12+00:00,6.31,0.29645,2.6237550208333342
2022-03-02 17:03:24+00:00,6.54,0.3528000000000001,3.041446333333335
2022-03-02 17:20:36+00:00,6.7,0.3920000000000001,3.173604437500001
2022-03-02 17:37:48+00:00,6.81,0.41895,3.0192789375
2022-03-02 17:55:00+00:00,6.84,0.42630000000000007,2.5701786250000014
2022-03-02 18:15:36+00:00,6.8,0.41650000000000004,1.8702177083333338
